sourceId,targetId
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALT_ACTION_INST
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALT_DATE_REAL
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALT_ENCOUNTER_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALT_GROUP_INFO
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALT_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALT_STATUS_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BARCODE_ERX_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BARCODE_ORD_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BPA_ACK_APP_OPT_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BPA_ACK_LOCKOUT_TM
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BPA_ACK_SDE_CTXT_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BPA_ACK_SDE_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BPA_ACK_SDE_VALUE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BPA_FUP_ASYNC_FRQ_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BPA_FUP_IB_FREQ_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BPA_TRGR_ACTION_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BSA_CALC_DETAIL
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|BSA_SOURCE_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|CM_CT_OWNER_ID
